TestID,Epic,JiraKey,Layer,SpecFile,Scenario,TestCase,Status,DurationMs,LastRun
PR-051,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,returns no errors for a fully valid patient,Pass,4,2026-08-08T04:34:38.534Z
PR-052,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,flags missing required fields,Pass,1,2026-08-08T04:34:38.534Z
PR-053,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,rejects an invalid email format,Pass,0,2026-08-08T04:34:38.534Z
PR-054,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,rejects an invalid phone format,Pass,0,2026-08-08T04:34:38.534Z
PR-055,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,rejects a date of birth in the future,Pass,1,2026-08-08T04:34:38.534Z
PR-056,Patient Registration,HMS-4/6,Frontend,frontend/src/utils/validation.test.js,validatePatientForm,rejects an unparseable date of birth,Pass,0,2026-08-08T04:34:38.534Z
AS-001,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,books an appointment and returns 201,Pass,75,2026-08-08T04:34:38.534Z
AS-002,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,returns 400 with field errors when required fields are missing,Pass,10,2026-08-08T04:34:38.534Z
AS-003,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,returns 400 when the patient does not exist,Pass,10,2026-08-08T04:34:38.534Z
AS-004,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,returns 400 when the doctor does not exist,Pass,10,2026-08-08T04:34:38.534Z
AS-005,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,rejects an overlapping booking with 409,Pass,15,2026-08-08T04:34:38.534Z
AS-006,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > POST /api/appointments,does not double-book when two requests race for the same slot,Pass,17,2026-08-08T04:34:38.534Z
AS-007,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > GET /api/appointments,filters by doctor and date range,Pass,23,2026-08-08T04:34:38.534Z
AS-008,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > GET /api/appointments,filters by patient,Pass,13,2026-08-08T04:34:38.534Z
AS-009,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > GET /api/appointments,returns an empty array when nothing matches the filters,Pass,8,2026-08-08T04:34:38.534Z
AS-010,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > PUT /api/appointments/:id (reschedule),reschedules an appointment to a new time,Pass,18,2026-08-08T04:34:38.534Z
AS-011,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > PUT /api/appointments/:id (reschedule),returns 409 when rescheduling into a slot that is already booked,Pass,23,2026-08-08T04:34:38.534Z
AS-012,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > PUT /api/appointments/:id (reschedule),returns 404 when rescheduling an appointment that does not exist,Pass,12,2026-08-08T04:34:38.534Z
AS-013,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > PUT /api/appointments/:id (reschedule),returns 409 when rescheduling a cancelled appointment,Pass,22,2026-08-08T04:34:38.534Z
AS-014,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > DELETE /api/appointments/:id (cancellation),cancels an appointment and returns its updated status,Pass,14,2026-08-08T04:34:38.534Z
AS-015,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > DELETE /api/appointments/:id (cancellation),frees up the slot for a new booking after cancellation,Pass,23,2026-08-08T04:34:38.534Z
AS-016,Appointment Scheduling,HMS-10/11,Backend,backend/tests/appointments.routes.test.js,Appointment Scheduling API > DELETE /api/appointments/:id (cancellation),returns 404 when cancelling an appointment that does not exist,Pass,8,2026-08-08T04:34:38.534Z
AS-017,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,returns no slots when the doctor has no working hours that day,Pass,4,2026-08-08T04:34:38.534Z
AS-018,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,returns no slots when the doctor is on leave,Pass,1,2026-08-08T04:34:38.534Z
AS-019,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,"returns no slots on a hospital holiday, even with working hours",Pass,0,2026-08-08T04:34:38.534Z
AS-020,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,fills the working window with back-to-back slots when there are no bookings,Pass,1,2026-08-08T04:34:38.534Z
AS-021,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,excludes a slot that exactly overlaps an existing booking,Pass,0,2026-08-08T04:34:38.534Z
AS-022,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,excludes adjacent slots that fall within the buffer time around a booking,Pass,1,2026-08-08T04:34:38.534Z
AS-023,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,handles multiple working-hour windows in the same day (e.g. morning + afternoon clinic with a lunch gap),Pass,0,2026-08-08T04:34:38.534Z
AS-024,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availability.test.js,computeAvailableSlots,supports department-specific slot durations (e.g. 15-minute OPD vs 45-minute specialist slots),Pass,2,2026-08-08T04:34:38.534Z
AS-025,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,returns null for an unknown doctor,Pass,16,2026-08-08T04:34:38.534Z
AS-026,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,computes open slots from working hours minus existing bookings,Pass,8,2026-08-08T04:34:38.534Z
AS-027,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,returns no slots when the doctor is on leave that day,Pass,6,2026-08-08T04:34:38.534Z
AS-028,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,returns no slots on a hospital-wide holiday,Pass,6,2026-08-08T04:34:38.534Z
AS-029,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,applies department-specific slot durations independently per doctor,Pass,5,2026-08-08T04:34:38.534Z
AS-030,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,includes bookedSlots so the UI can render both available and booked slots,Pass,4,2026-08-08T04:34:38.534Z
AS-031,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,getDoctorAvailability,"excludes a given appointment from the booked list, e.g. when rescheduling it",Pass,4,2026-08-08T04:34:38.534Z
AS-032,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,treats an unknown doctor as a conflict,Pass,3,2026-08-08T04:34:38.534Z
AS-033,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,returns false when the slot does not overlap any booking,Pass,3,2026-08-08T04:34:38.534Z
AS-034,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,returns true when the slot overlaps an existing booking,Pass,3,2026-08-08T04:34:38.534Z
AS-035,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,returns true when a slot falls within the doctor buffer time around a booking,Pass,5,2026-08-08T04:34:38.534Z
AS-036,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,ignores a cancelled appointment when checking for conflicts,Pass,5,2026-08-08T04:34:38.534Z
AS-037,Appointment Scheduling,HMS-10/11,Backend,backend/tests/availabilityService.test.js,hasConflict,excludes the appointment being rescheduled from its own conflict check,Pass,9,2026-08-08T04:34:38.534Z
AS-038,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors,lists all doctors,Pass,58,2026-08-08T04:34:38.534Z
AS-039,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors,"includes an explicit location when set, falling back to department otherwise",Pass,11,2026-08-08T04:34:38.534Z
AS-040,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors,filters doctors by department,Pass,10,2026-08-08T04:34:38.534Z
AS-041,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors/:id/availability,returns available slots for a given date,Pass,10,2026-08-08T04:34:38.534Z
AS-042,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors/:id/availability,returns 400 when the date query parameter is missing,Pass,8,2026-08-08T04:34:38.534Z
AS-043,Appointment Scheduling,HMS-10/11,Backend,backend/tests/doctors.routes.test.js,Doctors API > GET /api/doctors/:id/availability,returns 404 for an unknown doctor,Pass,8,2026-08-08T04:34:38.534Z
AS-044,Appointment Scheduling,HMS-8,Frontend,frontend/src/components/AppointmentBooking.test.jsx,AppointmentBooking,loads doctors and lets the user filter by department,Pass,357,2026-08-08T04:34:38.534Z
AS-045,Appointment Scheduling,HMS-8,Frontend,frontend/src/components/AppointmentBooking.test.jsx,AppointmentBooking,shows available and booked slots once a doctor and date are selected,Pass,157,2026-08-08T04:34:38.534Z
AS-046,Appointment Scheduling,HMS-8,Frontend,frontend/src/components/AppointmentBooking.test.jsx,AppointmentBooking,books an appointment and shows a confirmation with a reference number,Pass,651,2026-08-08T04:34:38.534Z
AS-047,Appointment Scheduling,HMS-8,Frontend,frontend/src/components/AppointmentBooking.test.jsx,AppointmentBooking,re-checks availability before submitting and blocks booking if the slot was just taken,Pass,600,2026-08-08T04:34:38.534Z
AS-048,Appointment Scheduling,HMS-8,Frontend,frontend/src/components/AppointmentBooking.test.jsx,AppointmentBooking,shows a graceful error when the backend rejects a conflicting booking,Pass,595,2026-08-08T04:34:38.534Z
AS-049,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,"renders upcoming appointments with doctor, location, and patient info",Pass,83,2026-08-08T04:34:38.534Z
AS-050,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,shows a reminder badge only for appointments within 24 hours,Pass,48,2026-08-08T04:34:38.534Z
AS-051,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,shows an empty state when there are no upcoming appointments,Pass,10,2026-08-08T04:34:38.534Z
AS-052,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,shows a graceful error state when loading fails,Pass,85,2026-08-08T04:34:38.534Z
AS-053,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,cancels an appointment and removes it from the list,Pass,117,2026-08-08T04:34:38.534Z
AS-054,Appointment Scheduling,HMS-9,Frontend,frontend/src/components/UpcomingAppointments.test.jsx,UpcomingAppointments,reschedules an appointment to a newly selected slot and updates the list,Pass,147,2026-08-08T04:34:38.534Z
BI-001,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,computes subtotal and total with no discount or tax,Pass,2,2026-08-08T04:34:38.534Z
BI-002,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,applies a percentage discount to the subtotal,Pass,1,2026-08-08T04:34:38.534Z
BI-003,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,"applies tax to the post-discount amount, not the raw subtotal",Pass,0,2026-08-08T04:34:38.534Z
BI-004,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,rounds to 2 decimal places for fractional cent amounts,Pass,0,2026-08-08T04:34:38.534Z
BI-005,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,handles multiple line items with mixed quantities,Pass,0,2026-08-08T04:34:38.534Z
BI-006,Billing & Invoicing,HMS-14,Backend,backend/tests/invoiceCalculator.test.js,calculateInvoiceTotals,returns zero totals for an empty line item list,Pass,0,2026-08-08T04:34:38.534Z
BI-007,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > POST /api/invoices,generates an invoice with accurate subtotal/discount/tax/total calculation,Pass,75,2026-08-08T04:34:38.534Z
BI-008,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > POST /api/invoices,returns 400 when line items are missing,Pass,12,2026-08-08T04:34:38.534Z
BI-009,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > POST /api/invoices,returns 400 when a line item has an invalid quantity,Pass,9,2026-08-08T04:34:38.534Z
BI-010,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > POST /api/invoices,returns 400 when the patient does not exist,Pass,10,2026-08-08T04:34:38.534Z
BI-011,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > POST /api/invoices,is idempotent: reusing the same idempotencyKey returns the original invoice instead of creating a new one,Pass,25,2026-08-08T04:34:38.534Z
BI-012,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices/:id,retrieves an invoice by id,Pass,17,2026-08-08T04:34:38.534Z
BI-013,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices/:id,returns 404 for an unknown invoice,Pass,11,2026-08-08T04:34:38.534Z
BI-014,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices?patient=,returns all invoices for a patient,Pass,23,2026-08-08T04:34:38.534Z
BI-015,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices?patient=,"returns every invoice when no filters are given, for the billing dashboard",Pass,17,2026-08-08T04:34:38.534Z
BI-016,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices?patient=,filters by status,Pass,28,2026-08-08T04:34:38.534Z
BI-017,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices?patient=,rejects an invalid status filter,Pass,13,2026-08-08T04:34:38.534Z
BI-018,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > GET /api/invoices?patient=,filters by department,Pass,19,2026-08-08T04:34:38.534Z
BI-019,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > PUT /api/invoices/:id/status,transitions an invoice from unpaid to partial to paid,Pass,24,2026-08-08T04:34:38.534Z
BI-020,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > PUT /api/invoices/:id/status,rejects an invalid status value,Pass,16,2026-08-08T04:34:38.534Z
BI-021,Billing & Invoicing,HMS-14,Backend,backend/tests/invoices.routes.test.js,Billing & Invoice API > PUT /api/invoices/:id/status,returns 404 when updating the status of an unknown invoice,Pass,12,2026-08-08T04:34:38.534Z
BI-022,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentGateway.test.js,chargeGateway,returns a succeeded result with a gateway reference by default,Pass,3,2026-08-08T04:34:38.534Z
BI-023,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentGateway.test.js,chargeGateway,returns a pending result when simulating an async gateway,Pass,1,2026-08-08T04:34:38.534Z
BI-024,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentGateway.test.js,chargeGateway,throws a non-retryable GatewayError on decline,Pass,3,2026-08-08T04:34:38.534Z
BI-025,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentGateway.test.js,chargeGateway,throws a retryable GatewayError on timeout,Pass,0,2026-08-08T04:34:38.534Z
BI-026,Billing & Invoicing,HMS-15,Backend,backend/tests/paymentGateway.test.js,chargeGateway,generates unique gateway references across calls,Pass,1,2026-08-08T04:34:38.534Z
BI-027,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,processes a successful card payment and updates the invoice,Pass,80,2026-08-08T04:34:38.534Z
BI-028,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,records a cash payment without a gateway call,Pass,14,2026-08-08T04:34:38.534Z
BI-029,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,returns 400 for validation errors,Pass,10,2026-08-08T04:34:38.534Z
BI-030,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,returns 400 when the invoice does not exist,Pass,10,2026-08-08T04:34:38.534Z
BI-031,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,"returns 402 with a clear, non-retryable error on decline and logs the failure",Pass,27,2026-08-08T04:34:38.534Z
BI-032,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,returns 402 with retryable:true after exhausting retries on repeated timeouts,Pass,11,2026-08-08T04:34:38.534Z
BI-033,Billing & Invoicing,HMS-15,Backend,backend/tests/payments.routes.test.js,Payment Processing API > POST /api/payments,records a pending payment for an async gateway without updating the invoice yet,Pass,13,2026-08-08T04:34:38.534Z
